周期1--注液,1,1032,1132,1232,1332,1432,0,0,0,0,0,0,0,0,0,0,
周期2--注液,1,1532,1632,1732,1832,1932,2032,2132,2232,2332,2432,000,000,000,000,000,
周期3--注液,1,1a32,1b32,1c32,1d32,1e32,2532,2632,2732,2832,2932,000,000,000,000,000,
周期4--注液,1,2a32,2b32,2c32,2d32,2e32,000,000,000,000,000,000,000,000,000,000,1,
周期5--静止,0,,,,,,,,,,,,,,,,
周期6--静止,0,,,,,,,,,,,,,,,,
周期7--静止,0,,,,,,,,,,,,,,,,
周期8--静止,0,,,,,,,,,,,,,,,,
周期9--静止,0,,,,,,,,,,,,,,,,
周期10--检测,2,200,201,202,203,204,,,,,,,,,,,
周期11--检测,2,300,301,302,303,304,,,,,,,,,,,





























